Location,Latitude,Longitude,Country,SeverityScore,IncidentsTotal
POINT(-113.48617 53.50569),"53.506","-113.486",Canada,0.025,"3"
POINT(-113.27358 53.55804),"53.558","-113.274",Canada,0.169,"3"
POINT(-113.46736 53.58472),"53.585","-113.467",Canada,0.015,"7"
POINT(-113.4864 53.45361),"53.454","-113.486",Canada,0.031,"10"
POINT(-113.6782 52.34685),"52.347","-113.678",Canada,0.642,"8"
POINT(-112.79324 49.70018),"49.7","-112.793",Canada,1.349,"72"
POINT(-118.84623 55.15627),"55.156","-118.846",Canada,0.031,"3"
POINT(-112.98972 53.77442),"53.774","-112.99",Canada,0.836,"27"
POINT(-111.732 55.00612),"55.006","-111.732",Canada,2.036,"14"
POINT(-113.50733 53.54139),"53.541","-113.507",Canada,0.018,"5"
POINT(-113.60215 53.39573),"53.396","-113.602",Canada,0.067,"5"
POINT(-114.0611 51.01597),"51.016","-114.061",Canada,0.037,"3"
POINT(-113.63972 53.55607),"53.556","-113.64",Canada,0.093,"41"
POINT(-114.06422 51.00869),"51.009","-114.064",Canada,0.034,"4"
POINT(-112.85579 53.01806),"53.018","-112.856",Canada,0.01,"4"
POINT(-113.41348 53.59731),"53.597","-113.413",Canada,0.06,"5"
POINT(-111.12482 55.61739),"55.617","-111.125",Canada,0.039,"3"
POINT(-113.49111 53.45424),"53.454","-113.491",Canada,0.087,"5"
POINT(-113.54157 53.55091),"53.551","-113.542",Canada,0.056,"5"
POINT(-113.56521 53.55108),"53.551","-113.565",Canada,0.01,"8"
POINT(-113.53764 50.57209),"50.572","-113.538",Canada,0.231,"5"
POINT(-113.07387 53.70909),"53.709","-113.074",Canada,1.083,"72"
POINT(-114.03713 50.94814),"50.948","-114.037",Canada,0.061,"5"
POINT(-110.7324 50.0627),"50.063","-110.732",Canada,0.048,"8"
POINT(-112.77751 53.81796),"53.818","-112.778",Canada,1.877,"14"
POINT(-113.57329 53.57048),"53.57","-113.573",Canada,0.064,"6"
POINT(-113.58283 53.55113),"53.551","-113.583",Canada,0.01,"3"
POINT(-111.02767 56.38419),"56.384","-111.028",Canada,0.174,"9"
POINT(-113.72428 53.5122),"53.512","-113.724",Canada,0.384,"5"
POINT(-114.05707 51.00601),"51.006","-114.057",Canada,0.007,"3"
POINT(-113.48621 53.49843),"53.498","-113.486",Canada,0.23,"26"
POINT(-113.49201 53.49439),"53.494","-113.492",Canada,0.022,"4"
POINT(-113.51194 53.51829),"53.518","-113.512",Canada,0.031,"3"
POINT(-113.9471 53.5412),"53.541","-113.947",Canada,0.168,"7"
POINT(-112.97569 53.7985),"53.799","-112.976",Canada,0.442,"15"
POINT(-113.12409 53.7564),"53.756","-113.124",Canada,0.482,"21"
POINT(-115.01929 51.10203),"51.102","-115.019",Canada,0.073,"5"
POINT(-112.86165 49.68871),"49.689","-112.862",Canada,0.472,"29"
POINT(-113.45698 53.48797),"53.488","-113.457",Canada,0.008,"3"
POINT(-113.60315 53.54135),"53.541","-113.603",Canada,0.035,"6"
POINT(-113.6271 53.54106),"53.541","-113.627",Canada,0.028,"9"
POINT(-113.45069 53.46481),"53.465","-113.451",Canada,0.016,"3"
POINT(-113.54958 53.55095),"53.551","-113.55",Canada,0.005,"3"
POINT(-113.48621 53.48804),"53.488","-113.486",Canada,0.072,"32"
POINT(-111.82867 54.79548),"54.795","-111.829",Canada,0.339,"7"
POINT(-113.49316 53.44974),"53.45","-113.493",Canada,0.081,"3"
POINT(-113.81223 52.30804),"52.308","-113.812",Canada,0.046,"4"
POINT(-113.67871 53.63572),"53.636","-113.679",Canada,0.104,"12"
POINT(-111.028 56.38451),"56.385","-111.028",Canada,0.303,"44"
POINT(-113.48672 53.4676),"53.468","-113.487",Canada,0.04,"3"
POINT(-113.64226 53.53745),"53.537","-113.642",Canada,0.057,"3"
POINT(-117.24863 54.76935),"54.769","-117.249",Canada,0.186,"9"
POINT(-111.89678 50.57473),"50.575","-111.897",Canada,0.031,"3"
POINT(-112.82646 53.01802),"53.018","-112.826",Canada,0.008,"3"
POINT(-113.62732 53.53832),"53.538","-113.627",Canada,0.019,"3"
POINT(-112.77907 49.70151),"49.702","-112.779",Canada,0.078,"35"
POINT(-112.77958 49.68644),"49.686","-112.78",Canada,0.133,"7"
POINT(-113.99352 51.00547),"51.005","-113.994",Canada,0.38,"12"
POINT(-113.57788 53.58338),"53.583","-113.578",Canada,0.329,"7"
POINT(-113.47594 53.48819),"53.488","-113.476",Canada,0.01,"3"
POINT(-113.45412 53.48812),"53.488","-113.454",Canada,0.029,"15"
POINT(-113.41506 53.53033),"53.53","-113.415",Canada,0.014,"3"
POINT(-112.78913 49.71111),"49.711","-112.789",Canada,0.078,"10"
